run_id,timestamp,algorithm,strategy,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,n_features,n_train_samples,excluded_features,notes,gpu,duration_s
run_20260531_063224_randomforest_strategyA_gravity_only,2026-05-31 06:33:39,randomforest,strategyA_gravity_only,41.7239,2.5395,21.6216,0.3325,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,S19 Optuna Tuned,False,74.4
run_20260531_062646_lightgbm_strategyA_gravity_only,2026-05-31 06:35:02,lightgbm,strategyA_gravity_only,41.5456,3.1966,22.0776,0.3669,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,S13 Optuna Tuned,False,495.5
run_20260531_162625_xgboost_strategyA_gravity_only,2026-05-31 16:26:54,xgboost,strategyA_gravity_only,5.5720,0.2264,3.0061,0.0369,45,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,True,29.6
run_20260531_162706_lightgbm_strategyA_gravity_only,2026-05-31 16:28:34,lightgbm,strategyA_gravity_only,6.7865,1.2158,3.0506,0.1161,45,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,88.2
run_20260531_162846_randomforest_strategyA_gravity_only,2026-05-31 16:30:15,randomforest,strategyA_gravity_only,4.7845,0.3884,2.3238,0.0327,45,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,89.8
run_20260531_170551_xgboost_strategyA_gravity_only,2026-05-31 17:06:26,xgboost,strategyA_gravity_only,4.9705,0.5018,2.0872,0.0539,45,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,True,34.6
run_20260531_170628_lightgbm_strategyA_gravity_only,2026-05-31 17:06:52,lightgbm,strategyA_gravity_only,5.4939,0.9500,2.1824,0.0914,45,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,23.7
run_20260531_170944_xgboost_strategyA_gravity_only,2026-05-31 17:10:18,xgboost,strategyA_gravity_only,5.7476,1.1307,1.9011,0.0863,42,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,True,33.7
run_20260531_171020_lightgbm_strategyA_gravity_only,2026-05-31 17:10:43,lightgbm,strategyA_gravity_only,6.4855,1.1874,2.0444,0.1643,42,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,23.3
run_20260531_171324_xgboost_strategyA_gravity_only,2026-05-31 17:13:55,xgboost,strategyA_gravity_only,40.8885,3.1662,21.5804,0.3743,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,True,30.4
run_20260531_171357_lightgbm_strategyA_gravity_only,2026-05-31 17:14:17,lightgbm,strategyA_gravity_only,42.6610,2.6871,22.0652,0.4985,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,19.9
run_20260531_171418_randomforest_strategyA_gravity_only,2026-05-31 17:15:42,randomforest,strategyA_gravity_only,40.4763,3.3392,21.2014,0.4313,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,,False,83.7
run_20260531_211903_xgboost_strategyA_gravity_only,2026-05-31 21:19:27,xgboost,strategyA_gravity_only,40.1053,2.6801,21.1416,0.3233,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,Phase 2.5 Tuned XGBoost,True,23.9
run_20260531_211951_lightgbm_strategyA_gravity_only,2026-05-31 21:21:48,lightgbm,strategyA_gravity_only,41.0175,3.0813,21.3312,0.5209,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,Phase 2.5 Tuned LightGBM + SHAP,True,116.7
run_20260531_212204_randomforest_strategyA_gravity_only,2026-05-31 21:22:32,randomforest,strategyA_gravity_only,39.5403,3.3993,20.8580,0.3174,41,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|capacity_utilization_ratio|cluster_mean_volume|cluster_p90_volume|tobit_censoring_ratio|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,Phase 2.5 Tuned RF,False,27.5
