iter	Passed	Remaining
571	21699	27200
572	21751	27179
573	21789	27141
574	21827	27104
575	21873	27075
576	21917	27045
577	21952	27004
578	21986	26960
579	22021	26919
580	22054	26875
581	22089	26834
582	22134	26804
583	22167	26760
584	22200	26716
585	22235	26674
586	22274	26638
587	22311	26598
588	22347	26559
589	22391	26527
590	22427	26488
591	22463	26447
592	22498	26406
593	22534	26366
594	22569	26324
595	22605	26284
596	22642	26245
597	22677	26204
598	22712	26163
599	22748	26123
600	22789	26088
601	22826	26049
602	22861	26008
603	22899	25969
604	22934	25929
605	22971	25890
606	23006	25849
607	23043	25810
608	23079	25770
609	23115	25730
610	23155	25694
611	23190	25653
612	23226	25613
613	23263	25574
614	23299	25535
615	23339	25499
616	23377	25461
617	23415	25423
618	23457	25390
619	23493	25350
620	23531	25312
621	23566	25271
622	23602	25231
623	23640	25193
624	23677	25155
625	23713	25115
626	23751	25077
627	23788	25038
628	23826	25000
629	23863	24962
630	23898	24921
631	23938	24884
632	23974	24845
633	24014	24809
634	24052	24771
635	24088	24732
636	24124	24692
637	24162	24655
638	24202	24619
639	24239	24580
640	24278	24543
641	24316	24505
642	24353	24466
643	24394	24431
644	24430	24393
645	24466	24352
646	24504	24315
647	24541	24276
648	24577	24236
649	24612	24196
650	24649	24157
651	24684	24116
652	24720	24076
653	24757	24038
654	24794	23999
655	24828	23958
656	24865	23919
657	24902	23880
658	24936	23839
659	24971	23798
660	25007	23758
661	25041	23717
662	25077	23677
663	25111	23636
664	25151	23601
665	25187	23561
666	25228	23526
667	25266	23489
668	25304	23451
669	25341	23412
670	25382	23377
671	25419	23339
672	25459	23302
673	25497	23265
674	25537	23229
675	25573	23190
676	25614	23155
677	25650	23115
678	25685	23075
679	25719	23033
680	25753	22993
681	25789	22953
682	25825	22914
683	25860	22873
684	25898	22836
685	25937	22799
686	25973	22760
687	26010	22720
688	26048	22683
689	26085	22645
690	26124	22608
691	26165	22573
692	26202	22534
693	26239	22496
694	26276	22457
695	26312	22418
696	26348	22378
697	26383	22339
698	26418	22299
699	26453	22258
700	26495	22224
701	26545	22196
702	26581	22157
703	26617	22118
704	26652	22078
705	26691	22041
706	26730	22004
707	26769	21967
708	26806	21929
709	26842	21889
710	26883	21854
711	26921	21817
712	26961	21780
713	27001	21744
714	27042	21709
715	27079	21671
716	27120	21635
717	27156	21596
718	27193	21558
719	27233	21521
720	27269	21482
721	27307	21444
722	27345	21407
723	27383	21369
724	27417	21328
725	27451	21288
726	27490	21251
727	27525	21211
728	27562	21173
729	27598	21133
730	27635	21095
731	27670	21055
732	27707	21017
733	27744	20978
734	27783	20941
735	27822	20904
736	27859	20866
737	27896	20827
738	27935	20790
739	27970	20751
740	28006	20711
741	28043	20673
742	28082	20636
743	28120	20598
744	28155	20558
745	28193	20521
746	28231	20483
747	28270	20446
748	28304	20406
749	28343	20369
750	28383	20333
751	28419	20294
752	28460	20258
753	28502	20223
754	28540	20186
755	28576	20147
756	28618	20112
757	28656	20074
758	28693	20036
759	28732	19999
760	28768	19960
761	28804	19921
762	28839	19881
763	28878	19844
764	28913	19804
765	28950	19766
766	28993	19732
767	29031	19694
768	29069	19656
769	29108	19620
770	29148	19583
771	29187	19546
772	29225	19508
773	29262	19470
774	29299	19432
775	29337	19394
776	29378	19358
777	29415	19320
778	29452	19281
779	29490	19244
780	29528	19206
781	29578	19177
782	29616	19139
783	29654	19101
784	29692	19063
785	29730	19025
786	29766	18986
787	29802	18948
788	29839	18909
789	29883	18876
790	29920	18837
791	29957	18799
792	29994	18760
793	30029	18721
794	30064	18681
795	30104	18645
796	30138	18604
797	30176	18567
798	30212	18528
799	30248	18489
800	30281	18448
801	30314	18407
802	30354	18371
803	30389	18331
804	30424	18292
805	30459	18252
806	30495	18214
807	30531	18175
808	30580	18144
809	30618	18106
810	30652	18066
811	30686	18026
812	30721	17987
813	30756	17947
814	30790	17907
815	30825	17868
816	30860	17828
817	30895	17789
818	30930	17749
819	30967	17711
820	31003	17673
821	31039	17634
822	31076	17595
823	31115	17558
824	31152	17520
825	31187	17481
826	31224	17443
827	31262	17405
828	31299	17367
829	31338	17330
830	31379	17294
831	31416	17256
832	31451	17217
833	31489	17179
834	31523	17139
835	31557	17099
836	31601	17065
837	31638	17027
838	31674	16988
839	31710	16950
840	31746	16911
841	31784	16873
842	31821	16835
843	31857	16797
844	31892	16757
845	31929	16719
846	31966	16681
847	32003	16643
848	32043	16606
849	32082	16569
850	32122	16533
851	32163	16497
852	32201	16459
853	32243	16424
854	32280	16385
855	32318	16347
856	32356	16310
857	32391	16271
858	32428	16233
859	32465	16195
860	32501	16156
861	32536	16117
862	32572	16078
863	32613	16042
864	32648	16003
865	32684	15964
866	32722	15927
867	32758	15888
868	32794	15850
869	32832	15812
870	32869	15774
871	32904	15735
872	32939	15696
873	32978	15658
874	33013	15620
875	33048	15581
876	33086	15543
877	33120	15504
878	33157	15465
879	33192	15426
880	33234	15391
881	33272	15353
882	33311	15316
883	33354	15281
884	33393	15244
885	33430	15205
886	33469	15168
887	33506	15130
888	33542	15092
889	33578	15053
890	33614	15015
891	33650	14976
892	33685	14937
893	33721	14899
894	33759	14861
895	33793	14822
896	33830	14784
897	33867	14746
898	33904	14708
899	33940	14669
900	33977	14631
901	34012	14593
902	34048	14554
903	34086	14517
904	34122	14478
905	34158	14439
906	34196	14402
907	34234	14364
908	34275	14328
909	34318	14293
910	34361	14257
911	34402	14221
912	34442	14184
913	34484	14148
914	34524	14111
915	34566	14075
916	34611	14040
917	34653	14004
918	34695	13968
919	34738	13933
920	34782	13897
921	34828	13863
922	34866	13825
923	34906	13788
924	34948	13752
925	34991	13717
926	35030	13679
927	35068	13641
928	35104	13603
929	35139	13564
930	35175	13526
931	35212	13487
932	35249	13449
933	35287	13412
934	35322	13373
935	35364	13337
936	35411	13303
937	35460	13269
938	35505	13234
939	35546	13197
940	35581	13158
941	35615	13119
942	35650	13080
943	35685	13041
944	35721	13003
945	35756	12964
946	35791	12925
947	35827	12887
948	35862	12848
949	35898	12810
950	35934	12771
951	35970	12733
952	36007	12695
953	36042	12656
954	36078	12618
955	36114	12579
956	36149	12540
957	36187	12503
958	36227	12466
959	36265	12428
960	36301	12390
961	36341	12353
962	36379	12315
963	36421	12278
964	36462	12242
965	36505	12206
966	36546	12169
967	36584	12131
968	36620	12093
969	36655	12054
970	36693	12016
971	36729	11978
972	36764	11940
973	36799	11901
974	36837	11863
975	36872	11824
976	36907	11786
977	36945	11748
978	36981	11710
979	37015	11671
980	37053	11633
981	37093	11596
982	37141	11561
983	37175	11523
984	37213	11485
985	37249	11446
986	37284	11408
987	37322	11370
988	37358	11332
989	37393	11293
990	37430	11255
991	37468	11217
992	37501	11178
993	37534	11139
994	37572	11101
995	37614	11065
996	37657	11029
997	37695	10991
998	37731	10953
999	37765	10914
1000	37800	10875
1001	37838	10837
1002	37873	10799
1003	37909	10761
1004	37947	10723
1005	37983	10685
1006	38017	10646
1007	38050	10607
1008	38085	10568
1009	38120	10530
1010	38170	10495
1011	38208	10458
1012	38243	10419
1013	38278	10381
1014	38315	10343
1015	38351	10305
1016	38386	10266
1017	38422	10228
1018	38459	10190
1019	38493	10151
1020	38529	10113
1021	38569	10076
1022	38604	10037
1023	38641	9999
1024	38680	9962
1025	38717	9924
1026	38752	9886
1027	38787	9847
1028	38823	9809
1029	38858	9771
1030	38896	9733
1031	38938	9696
1032	38976	9659
1033	39014	9621
1034	39050	9583
1035	39091	9546
1036	39128	9508
1037	39169	9471
1038	39212	9435
1039	39250	9397
1040	39288	9359
1041	39328	9322
1042	39366	9284
1043	39404	9247
1044	39444	9210
1045	39484	9172
1046	39522	9135
1047	39563	9098
1048	39601	9060
1049	39636	9022
1050	39674	8984
1051	39713	8946
1052	39750	8908
1053	39786	8870
1054	39822	8832
1055	39858	8794
1056	39896	8756
1057	39934	8719
1058	39970	8681
1059	40005	8642
1060	40044	8605
1061	40082	8567
1062	40119	8529
1063	40158	8492
1064	40198	8454
1065	40251	8420
1066	40291	8383
1067	40331	8345
1068	40372	8308
1069	40409	8270
1070	40445	8232
1071	40480	8194
1072	40516	8156
